id,titulo,genero,actor1,actor2,actor3,director,anio,calidad,formato,sinopsis
2,OPERACIÓN TRUENO,Aventuras,Sean Connery,Claudine Auger,Adolfo Celi,Terence Young,1965,Color,DVD,"Fecha de estreno en Montevideo: 1-01-1968. Trocadero, Radio City
   La organización Spectre se apodera de un bombardero equipado con dos bombas nucleares y amenaza con destruir una ciudad de Usa o Inglaterra si no le entregan cien millones de libras esterlinas. El caso le es asignado al agente 007."
3,MARCHA DE VALIENTES,Western,John Waynne,William Holden,Constance  Towers,John Ford,1959,Color,DVD,"The Horse Soldiers.1959
   En abril de 1863,durante la Guerra de Secesión, el Coronel nordista
Marlowe (John Wayne) recibe la orden de partir con una abundante fuerza y adentrarse trescientas millas en territorio sudista, destruir ferrocarriles y regresar con el menor número de bajas posible, pero debe acompañarles el Comandante médico Kandall (William Holden), lo que no le gusta ya que detesta a los ""matasanos"", a quienes respozabiliza de la muerte de su esposa.
   Durante el trayecto ocupan una casa sudista y tienen que llevar con ellos a Hanna Hunter (Constance Tower) y su criada ya que al espiarlos se han enterado de los planes. Tras cumplir su misión, el Cnel Marlowe no regresa al punto de partida y sigue hasta Báton Rouge para desconcertar a sus perseguidores, reconciliarse con el Dr Kendall y enamorarse de Hanna Hunter.
   Tradicional película de itinerario. No es una de las obras maestras de Ford, pero está cerca y ha ganado con el paso de los años y tiene un mensaje antibélico.
  Fecha de estreno en Montevideo: 11-02-1960. Cines Censa y California."
4,TIBURON,Aventuras,Robert Shaw,Roy Scheider,Richard Dreyfuss,Steven Spielberg,1975,Color,DVD,"Fecha de estreno en Montevideo: 1-01-1976. Metro. Censa
  La película cuenta como un enorme tiburón blanco ataca a los bañistas en las playas de una isla turística. Estos sucesos llevan al sheriff a cerrar las playas y a emprender la caza del éscualo junto a un biólogo marino y un cazatiburones profesional, Dreyfuss y Shaw respectivamente..
  El tema musical que anuncia la inminente aparición del tiburón es inquietante.
  Le siguieron tres secuelas ninguna con la participación de Spielberg."
5,RAMBO,Bélica,Sylvester Stallone,Richard Crenna,Brian Dennehy,Ted Kotcheff,1982,Color,DVD,"Fecha de estreno en Montevideo: 2-06-1983. Censa
  John J Rambo es un veterano de la guerra de Vietnam a quien le fue entregada la Medalla de Honor que tiene problemas para adaptarse a la vida civil.
  Un día un sheriff lo detiene por vagabundear. Al revisarlo ve que tiene un puñal de combate militar. Rambo dice que lo usa para cazar, pero el Sheriff no le cree y lo lleva a la Comisaría. Allí es golpeado y eso le trae recuerdos de cuando fue prisionero de guerra.
  Logra escapar y se retira a las montañas. Un grupo de policías sale en su búsqueda pero son reducidas por Rambo. El sheriff se ve obligado a llamar a la Guardia Nacional. Allí aparece un antiguo oficial que estuvo al mando de Rambo (Richard Crenna) y advierte que, dada la experiencia en combate de Rambo puede matarlos a todos. 
  Finalmente el Coronel le dice a Rambo que termine esta miniguerra y Rambo, entre sollozos, le cuenta de su ira por la forma que la sociedad lo ha maltratado y el ejército lo ha olvidado. Finalmente Rambo se entrega."
6,LOS DOCE DEL PATIBULO,Bélica,Lee Marvin,Charles Bronson,John Cassavetes,Robert Alcrich,1967,Color,DVD,"Fecha de estreno en Montevideo:28-02.1968 Ambassador
  Lee Marvin es el comandante Reisman. Por su indisciplina se le encarga una misión suicida: asaltar un cuartel en los territorios ocupados por los alemanes antes del desembarco y matar la mayor cantidad de oficiales germanos. Para ello recluta doce condenados a muerte con la promesa de otorgarles la libertad a los que regresen."
7,ROSA DE ABOLENGO,Drama,Greer Garson,Walter Pidgeon,Teresa Wright,William Wyler,1942,B&N,DVD,"En un pequeño pueblo de Inglaterra la familia Miniver ve alterada su tranquila vida por la II Guerra Mundial. El padre y el hijo mayor van a combatir y la madre (Greer Garson) se queda con su hijo menor y su nuera. Es una película de propaganda bélica que incita a luchar contra los alemanes.
   Greer Garson ganó el Oscar por su labor.
Fecha de estreno en Montevideo: 4-12-1942 Cine Metro."
8,ROCKY I,Aventuras,Sylvester Stallone,Burguess Meredith,Talia Shire,John Avildsen,1976,Color,DVD,"Fecha de estreno en Montevideo: 2-04-1977 Trocadero
  Rocky es un boxeador de segunda clase. Un buen día el campeón del mundo Apollo Creek al no tener rival ante la imposibilidad del púgil al que iba a enfrentar elige a Rocky para combatir sabiendose superior.
   Rocky acepta y comienza a entrenar solo, es muy recordada la escena en que sube las escalinatas de un edificio público.
   Consigue que un viejo entrenador (Burguess Meredith) lo ayude en la preparación.
   Está basada en algún hecho real, como el del uruguayo Alfredo Evangelista que llegó a pelear con Mohamed Alí en esas condiciones.
   Ganó el Oscar a mejor película."
9,EL PISTOLERO,Western,John Wayne,Laureen Bacall,Ron Howard,Don Siegel,1976,Color,DVD,"Fecha de estreno en Montevideo: 27-10-1977. Iguazu.


  .

 Cuenta la historia de un viejo pistolero enfermo terminal. Sabiendo que le quedaba poco prefiere terminar su vida en un tiroteo en una cantina.
  Don Siegel recurrió a un monteje de fragmentos de films anteriores. La realidad se confundió con la leyenda.
  Ultima pelicula de John Wayne."
10,TIBURON II,Aventuras,Roy Scheider,Lorraine Gary,Joe Mascolo,Jeannet Szware,1978,Color,DVD,"Fecha de estreno en Montevideo: 25-12-1978.Censa,California,Punta Gorda.
  Han pasado cinco años del ataque del tiburón blanco. Dos buzos son atacados por otro tiburón blanco en la misma localidad.
  Se producen otros ataques y el comisario (Roy Scheider) deberá intervenir."
11,AHORA MI NOMBRE ES NADIE,Western,Henry Fonda,Terence Hill,Piero Lulli,Tonino Velrii,1974,Color,DVD,"Fecha de estreno en Montevideo:10-02-1975. Censa
 De camino a Nueva Orleans para tomar el barco que se dirige a Inglaterra, Jack (Henry Fonda)conoce a un forastero cuyo nombre es Nadie (Terence Hill). Este lo seguirá a todas partes pero ayudará a Jack a enterrar su pasado."
